1.228015606030624127e+06 1.119559032763828058e+06 9.979191043009470450e+05 9.169884106274126098e+05 8.266796950097773224e+05 7.618496901382831857e+05 7.017947972175428877e+05 6.512573593151712557e+05 6.146697037577541778e+05 5.870977890007630922e+05 5.675069244549014838e+05 5.561625878372300649e+05 5.556837570265191607e+05 5.713855037588106934e+05 5.743887722990165930e+05 6.029997418499169871e+05 6.194934454006311717e+05 6.508756005871091038e+05 6.902353846508860588e+05 7.218736530533391051e+05 7.625757981196419569e+05 8.187658426659852266e+05 8.472550126983224181e+05 9.146128482267119689e+05 9.657601632622547913e+05 1.000767614620190463e+06 1.076101018827175023e+06 1.121239861310462002e+06 1.185001303273101104e+06 1.237659624629699625e+06 1.309184399145098636e+06 1.383776498083514627e+06 1.402295840244084131e+06 1.493849044438631972e+06 1.528443951545179589e+06 1.600495072110158624e+06 1.653266935875282390e+06 1.721199482905791141e+06 1.802847435279670171e+06 1.875787649390055100e+06 1.888241423862606520e+06 1.949696664789343718e+06 2.003831154086014256e+06 2.057545775772558991e+06 2.119906237848035991e+06 2.201849485037033446e+06 2.218163811970158946e+06 2.305296681350056082e+06 2.345429291823315434e+06 2.384356357246762607e+06
1.166167265200365568e+06 1.041141578007570119e+06 9.394815706029649591e+05 8.314958795324115781e+05 7.466663257192845922e+05 6.740500108455286827e+05 6.092312298875274137e+05 5.556434465651880018e+05 5.106013088637882611e+05 4.790157347878506407e+05 4.603053105578477262e+05 4.465561241412065574e+05 4.447045919605628005e+05 4.585014583350915345e+05 4.720202700589025626e+05 4.917798529517702409e+05 5.145635341997182695e+05 5.598009195740566356e+05 5.941697268409798853e+05 6.498360514689480187e+05 6.829378674379480071e+05 7.325760830217127223e+05 7.973875022066109814e+05 8.526620625744834542e+05 9.263816967341843992e+05 9.750927513557823841e+05 1.038030136392410262e+06 1.092592764692512807e+06 1.183085577906966209e+06 1.218583532089822460e+06 1.314938555190996500e+06 1.379637307500108844e+06 1.425370038393868133e+06 1.488840038053786149e+06 1.566187383897132706e+06 1.629626251428799471e+06 1.672618500718271360e+06 1.776767930317546241e+06 1.853540816983574536e+06 1.919664555442225421e+06 1.951108499352253275e+06 2.026154862432385795e+06 2.088591616186627420e+06 2.156454030021772254e+06 2.223245158853241242e+06 2.306719425349163823e+06 2.370475248889626935e+06 2.414829851429325063e+06 2.475569948763164692e+06 2.576232888532985002e+06
1.116788929206680972e+06 1.000302234847392072e+06 8.892977541217071703e+05 7.824299153980182018e+05 6.650419365730585996e+05 5.924464461877084104e+05 5.247029200307959691e+05 4.538407377272179583e+05 4.123661127375166398e+05 3.912093050060050446e+05 3.626854636547584087e+05 3.532699057854007697e+05 3.491314763132955413e+05 3.633128424358837656e+05 3.758192917421127786e+05 4.056114569785914500e+05 4.220613434220550698e+05 4.746498052446302027e+05 5.258794035534358118e+05 5.724072498597160447e+05 6.191166736026665894e+05 6.569436541106883669e+05 7.227789330633275677e+05 8.071826589513641084e+05 8.754131104557940271e+05 9.285842007388385246e+05 9.903224627507089172e+05 1.089976162500835955e+06 1.164918644512168830e+06 1.237918981269845739e+06 1.287846318080148194e+06 1.388173070034926990e+06 1.437277400607681833e+06 1.522030348417716566e+06 1.606827046256967820e+06 1.714154405238960637e+06 1.747636963346843841e+06 1.862395003422192065e+06 1.896848976656480692e+06 1.993293217114229919e+06 2.088202584369906690e+06 2.143289975457783788e+06 2.268115744541556574e+06 2.310656221687458921e+06 2.398680042523884680e+06 2.437920964802481234e+06 2.514170903763638809e+06 2.567565954973348416e+06 2.664813532148489263e+06 2.762821122803854756e+06
1.063302805358375888e+06 9.504428765925125917e+05 8.152677562210028991e+05 7.078619119675727561e+05 6.033270363305540523e+05 5.173534199522067793e+05 4.397645638368120417e+05 3.851298674117373303e+05 3.331773434806030127e+05 2.954662470895511215e+05 2.762744082048275741e+05 2.643006458181314520e+05 2.645044314230564632e+05 2.739573706630654633e+05 2.926157007610324072e+05 3.287049242039273377e+05 3.586219673815027345e+05 4.159602113794566249e+05 4.475900116504835896e+05 5.027890934816874797e+05 5.622818529929083306e+05 6.442513457029942656e+05 7.180890843270545593e+05 7.954602716683864128e+05 8.403703306801390136e+05 9.203752015131859807e+05 1.008168567684304086e+06 1.106057904821320204e+06 1.163695069243954727e+06 1.256164449600260239e+06 1.320231065514545655e+06 1.419604389383988921e+06 1.530151617059248500e+06 1.593338392517776228e+06 1.663831134960316354e+06 1.763508393113478553e+06 1.855004661084972089e+06 1.913049660855354043e+06 2.014135413752872963e+06 2.124775498440613970e+06 2.214844584679882042e+06 2.303623012200630736e+06 2.380607245162545703e+06 2.495402297528218478e+06 2.539891023075056728e+06 2.641187609018960502e+06 2.687824721084927209e+06 2.789441150840474758e+06 2.844303294613388367e+06 2.935590121774152387e+06
1.037561313319268404e+06 9.065832625542616006e+05 7.773425686558868038e+05 6.546063913903522771e+05 5.417162812401511474e+05 4.565997609280147590e+05 3.785691325459233485e+05 3.205977292819099966e+05 2.656644412020597374e+05 2.306536131469549437e+05 2.032878380552735762e+05 1.905660025890175311e+05 1.918683302631310362e+05 2.005852580536036112e+05 2.281752529115732759e+05 2.633720162642895011e+05 3.020692701677792356e+05 3.584635896717324504e+05 3.961339571563330246e+05 4.752065291859679273e+05 5.281358834932994796e+05 6.169006777826746693e+05 6.876459272311287932e+05 7.789095335598330712e+05 8.359316246898868121e+05 9.081380940705210669e+05 1.036815850010910188e+06 1.121139326323865913e+06 1.202902641812028829e+06 1.277485204379806295e+06 1.387914646076624282e+06 1.483012387585775694e+06 1.562085039172008401e+06 1.675122130918049719e+06 1.754140549289321294e+06 1.880472132818969199e+06 1.967723604702009354e+06 2.044151682399252197e+06 2.170163790270680096e+06 2.260202838470862713e+06 2.327648142700425349e+06 2.439145518545619212e+06 2.515531843362666667e+06 2.652992923349097371e+06 2.725614902511878870e+06 2.810361305786859710e+06 2.963999630184302572e+06 3.066523113323738798e+06 3.082829024874257855e+06 3.191522243201932404e+06
1.004654717241814593e+06 8.612335074558802880e+05 7.452977309069607873e+05 6.209987721995480824e+05 5.059688892820022302e+05 4.062747595535180881e+05 3.305078652958725579e+05 2.494009836954085913e+05 2.068778431587712839e+05 1.700893771724001563e+05 1.425639989179815457e+05 1.312088663460969110e+05 1.278320594555916614e+05 1.465250914421715715e+05 1.636015679046932200e+05 2.105376780509405071e+05 2.458366159256181854e+05 3.098318675454235636e+05 3.671884511010728893e+05 4.476604165278277360e+05 5.009039456568281166e+05 5.891599466846354771e+05 6.789609741100877291e+05 7.577380657276002457e+05 8.538054648582610535e+05 9.312423266146134119e+05 1.043402434617401101e+06 1.143570766290948726e+06 1.240219334676619619e+06 1.315333678495180560e+06 1.479307556978320936e+06 1.561166977971321903e+06 1.664439145086163888e+06 1.756406621259316569e+06 1.883641025656961370e+06 1.986560388099753996e+06 2.087794789175550453e+06 2.188613705809353385e+06 2.289728264359872323e+06 2.413832854890025686e+06 2.517564052719858941e+06 2.605893596261575352e+06 2.791438308313829359e+06 2.864305486501695588e+06 2.948030733199670911e+06 3.059899868307692464e+06 3.164715989802468568e+06 3.271514465360944159e+06 3.354166127693212125e+06 3.467713149623109028e+06
9.823551406388996402e+05 8.210815515972923022e+05 7.021919752649415750e+05 5.649153658408485353e+05 4.613822814953794586e+05 3.729247892804008443e+05 2.822134650750207365e+05 2.130252256746134663e+05 1.547243784632216848e+05 1.235569827067052247e+05 9.167025618454375945e+04 7.994572846620748169e+04 8.632780667008472665e+04 9.622336732237818069e+04 1.302819259406016645e+05 1.658855596056825598e+05 2.202459948906473874e+05 2.876104667099359212e+05 3.404278734043559525e+05 4.177844758215461043e+05 4.891404230915076914e+05 6.026282658832229208e+05 6.776447500978689641e+05 7.711390569347895216e+05 8.835973906232176814e+05 1.000951020719014457e+06 1.071159103492800379e+06 1.195240359719971893e+06 1.327556414476996986e+06 1.436865670584808569e+06 1.526757906117941951e+06 1.638416774766475428e+06 1.781434559547919780e+06 1.912416171624652576e+06 1.972853993528144434e+06 2.122194650232984219e+06 2.253594950526979286e+06 2.344411993186203297e+06 2.498801171609641053e+06 2.559441060290376190e+06 2.681898437752371654e+06 2.856992548010703642e+06 2.970833604732859414e+06 3.064482917176525574e+06 3.168918093291463796e+06 3.294063363675267436e+06 3.452791220250166021e+06 3.525271690768688451e+06 3.634703875636613928e+06 3.756982443468374200e+06
9.431962619717834750e+05 8.052248484237720259e+05 6.722367789276859257e+05 5.445629521853408078e+05 4.332966707827972714e+05 3.298401336068327655e+05 2.350668692589164712e+05 1.725898728150484094e+05 1.139076843081841653e+05 7.742547161467697879e+04 5.188473166231105279e+04 4.430139160782725230e+04 5.104626198706047580e+04 7.143201810938563722e+04 1.030002990531620308e+05 1.460394512809723092e+05 1.902152134766487870e+05 2.619685051284004585e+05 3.328672379228848149e+05 4.330747394732471439e+05 5.211514804010060616e+05 6.072015157869805116e+05 7.099539514723096509e+05 8.181264823788388167e+05 8.925679810716885841e+05 1.050807748281434877e+06 1.200267201541876420e+06 1.273906498528291471e+06 1.364304679417058360e+06 1.562377731124266284e+06 1.631045115541989915e+06 1.753173978503343882e+06 1.870256994891447714e+06 2.117093182208534330e+06 2.160527398965580855e+06 2.267095887373532634e+06 2.414826766979625914e+06 2.546119287943774369e+06 2.649585904540527146e+06 2.812154113953980617e+06 2.949233602454815060e+06 3.078302236085919663e+06 3.240963748692121357e+06 3.315733039739131462e+06 3.405996819226288237e+06 3.625240687604301143e+06 3.725288572083723731e+06 3.834406878282037564e+06 3.936917314467538614e+06 4.075381570567025337e+06
9.279413016808968969e+05 7.944999542826622492e+05 6.426929407390849665e+05 5.197499404780289042e+05 4.113200810832155985e+05 3.106974008663168061e+05 2.122493689079406031e+05 1.372851962067506975e+05 8.790192244374792790e+04 4.682617820132857742e+04 2.343297118633439459e+04 1.934842555022789020e+04 2.644701880530616472e+04 5.577573649342053977e+04 7.997407184017237159e+04 1.392622258889433870e+05 1.895993011511263612e+05 2.677142683729177807e+05 3.496994147121364949e+05 4.278547154710788163e+05 5.329706154207087820e+05 6.404436802575602196e+05 7.209685486849778099e+05 8.732496788613530807e+05 9.485666014796424424e+05 1.114962045181434834e+06 1.233136185700448463e+06 1.371935072847188218e+06 1.481155790048936149e+06 1.649300836821677862e+06 1.747527177385355346e+06 1.941263309312669327e+06 2.037632516538327327e+06 2.219868420230387244e+06 2.338267323365584947e+06 2.452903563701548148e+06 2.613389363518893719e+06 2.719884519565995783e+06 2.911723259025822394e+06 3.002583005818127189e+06 3.164944996451939922e+06 3.340802473628777079e+06 3.431051221056834795e+06 3.632309878378676251e+06 3.755271879351058044e+06 3.849389784635595046e+06 4.011556474616093095e+06 4.156172482779619750e+06 4.239897211182731204e+06 4.389550939034461044e+06
9.170992787611900130e+05 7.487547742829937488e+05 6.331689718948705122e+05 5.059198041383078089e+05 3.985990637091202079e+05 2.837119353303622920e+05 1.990094824911569594e+05 1.213740803408437350e+05 6.902340145465593378e+04 3.502657991517024493e+04 9.391538547771951926e+03 3.952857980645904263e+03 1.223348441575010838e+04 3.633989539584652812e+04 7.732710944627059507e+04 1.246323293532501848e+05 2.054176578404572210e+05 2.760254129252206185e+05 3.698307710413304740e+05 5.007675021177827148e+05 5.648835184779530391e+05 6.878076534464210272e+05 7.967154066118118353e+05 9.611465896912785247e+05 1.033620952527585556e+06 1.191625394460198469e+06 1.336121100199236767e+06 1.467621679470569594e+06 1.619644582272159401e+06 1.741437805152400164e+06 1.896674175665028393e+06 2.117524061781207100e+06 2.194671167757431045e+06 2.341286651320093311e+06 2.512914307538280264e+06 2.624762348588828929e+06 2.796494489088935312e+06 3.001948673504917417e+06 3.153798704452264123e+06 3.331189886685960926e+06 3.456192941254961304e+06 3.586104418332559522e+06 3.732138781668982003e+06 3.906179425217396580e+06 4.095080252823327202e+06 4.210653647241120227e+06 4.395969312280976214e+06 4.518840430266258307e+06 4.725802328379499726e+06 4.833178228500193916e+06
